SuperWEB2(tm)

"Labour Force - Census 1996-2011"
"South Africa by 2011 Electoral Wards by Employment status (official)"
"Counting: Person weighted"

Filters:
"Default Summation","Person weighted"

"Employment status (official)","Employed","Unemployed","Discouraged work-seeker","Not economically active","Unspecified","Not applicable","Total",
"South Africa by 2011 Electoral Wards",
"10205001: Ward 1",4181.492663,2704.949562,142.04344,7493.157472,4.384,8668.032393,23194.05953,
"10205002: Ward 2",5744.100546,797.522112,57.09671,4112.465275,0,5150.898433,15862.083076,
"10205003: Ward 3",10492.616626,1903.679003,22.3432,5498.618375,1.096,10058.82659,27977.179794,
"10205004: Ward 4",11261.644435,466.153113,8.8816,4279.806957,0,9116.950196,25133.436301,
"10205005: Ward 5",14001.034007,407.235124,44.2111,4615.791756,0,9936.234963,29004.50695,
"10205006: Ward 6",5010.815759,361.034563,52.65789,3909.585942,0,3951.102359,13285.196513,
"10205007: Ward 7",6857.646562,298.821561,7.05186,4566.465041,0,5045.486642,16775.471666,
"10205008: Ward 8",6269.571647,3225.884968,145.83118,6830.955291,2.192,8600.570975,25075.006061,
"10205009: Ward 9",5860.464105,2030.840891,23.6592,5670.450732,7.672,7469.008601,21062.095529,
"10205010: Ward 10",6768.554282,2450.65974,68.28014,5825.42753,16.44,8201.207239,23330.568931,
"10205011: Ward 11",6777.665394,1477.76071,162.77608,5780.46308,1.096,7469.854637,21669.615901,
"10205012: Ward 12",6878.716103,633.120516,101.52232,4851.750668,0,7416.169646,19881.279253,
"10205013: Ward 13",7772.556101,2474.70069,65.03588,5400.756389,4.384,7754.346761,23471.779821,
"10205014: Ward 14",6022.274244,2030.238379,30.45521,5670.838339,2.192,6492.3388,20248.336972,
"10205015: Ward 15",7401.693475,320.37861,6.852,5337.560111,4.384,5872.187031,18943.055227,
"10205016: Ward 16",3760.830013,2624.35703,85.43805,3493.829325,0,4788.579877,14753.034295,
"10205017: Ward 17",2292.251943,2999.325787,101.78164,4029.785708,1.096,4755.566151,14179.807229,
"10205018: Ward 18",8749.717802,892.415433,209.55367,3839.538002,2.192,7362.254728,21055.671635,
"10205019: Ward 19",10819.91964,218.961153,9.6233,2790.476661,4.384,7752.852906,21596.21766,
"10205020: Ward 20",9353.059134,471.150974,30.50252,3712.634067,3.288,7601.086834,21171.721529,
"10205021: Ward 21",7491.131922,1543.821484,403.43186,6386.505752,0,9700.541627,25525.432645,
"10206001: Ward 1",4415.845208,677.57166,89.38386,4380.7095,0,5006.470906,14569.981134,
"10206002: Ward 2",5232.612176,2683.386019,211.93962,4826.744442,19.728,6370.25877,19344.669027,
"10206003: Ward 3",5745.228032,1397.99663,107.79328,6914.702381,2.192,7989.204276,22157.116599,
"10206004: Ward 4",5782.521811,1146.261914,216.26161,4512.827721,0,6500.593306,18158.466362,
"10206005: Ward 5",7137.685418,540.675276,18.08554,3467.165539,1.096,6075.673894,17240.381667,
"10206006: Ward 6",9980.532159,1104.366381,44.59461,5087.786016,7.672,8713.48526,24938.436426,
"10206007: Ward 7",8978.443029,1046.088207,91.96913,6852.782883,6.576,9247.449198,26223.308447,
"10206008: Ward 8",12287.467711,301.451773,26.0826,4593.773063,16.44,9221.636566,26446.851713,
